# Info for IR Remote control
# Chris Dodge - May 1994

Sat Clock 1726.000000
Sat Bias 10
Sat SignalNo 27
Sat SignalLen 150
Sat Repeat 1
Sat Pause 0
Sat Signal Standby 111111111111111100000000100010101000101010100010100010001010001000100010001010101010101010100010001000100010001000100010001000000000000000000000000000
Sat Signal One 111111111111111100000000100010101000101010100010100010001010001000100010001000100010101010101010101000100010001000100010001000000000000000000000000000
Sat Signal Two 111111111111111100000000100010101000101010100010100010001010001000100010001010001010101010101000101000100010001000100010001000000000000000000000000000
Sat Signal Three 111111111111111100000000100010101000101010100010100010001010001000100010001000101010101010101010001000100010001000100010001000000000000000000000000000
Sat Signal Four 111111111111111100000000100010101000101010100010100010001010001000100010001000100010001010101010101010100010001000100010001000000000000000000000000000
Sat Signal Five 111111111111111100000000100010101000101010100010100010001010001000100010001010001000101010101010001010100010001000100010001000000000000000000000000000
Sat Signal Six 111111111111111100000000100010101000101010100010100010001010001000100010001000101000101010101010100010100010001000100010001000000000000000000000000000
Sat Signal Seven 111111111111111100000000100010101000101010100010100010001010001000100010001000100010100010101010101010001010001000100010001000000000000000000000000000
Sat Signal Eight 111111111111111100000000100010101000101010100010100010001010001000100010001010001010001010101010001010001010001000100010001000000000000000000000000000
Sat Signal Nine 111111111111111100000000100010101000101010100010100010001010001000100010001000101010001010101010100010001010001000100010001000000000000000000000000000
Sat Signal Zero 111111111111111100000000100010101000101010100010100010001010001000100010001010001000100010101010100010101010001000100010001000000000000000000000000000
Sat Signal Mute 111111111111111100000000100010101000101010100010100010001010001000100010001000101010001000101010101000100010101000100010001000000000000000000000000000
Sat Signal Mode 111111111111111100000000100010101000101010100010100010001010001000100010001010001010100010101010001010001000101000100010001000000000000000000000000000
Sat Signal Mo/St 111111111111111100000000100010101000101010100010100010001010001000100010001010100010001010101010001000101010001000100010001000000000000000000000000000
Sat Signal A/B 111111111111111100000000100010101000101010100010100010001010001000100010001010101010001010101000100010001000101000100010001000000000000000000000000000
Sat Signal AudioUp 111111111111111100000000100010101000101010100010100010001010001000100010001000101000100010101010101000101010001000100010001000000000000000000000000000
Sat Signal AudioDn 111111111111111100000000100010101000101010100010100010001010001000100010001000101010100010101010100010001000101000100010001000000000000000000000000000
Sat Signal ChanUp 111111111111111100000000100010101000101010100010100010001010001000100010001010001010001000101010100010100010101000100010001000000000000000000000000000
Sat Signal ChanDn 111111111111111100000000100010101000101010100010100010001010001000100010001000100010100010001010101010100010101000100010001000000000000000000000000000
Sat Signal V/H 111111111111111100000000100010101000101010100010100010001010001000100010001000100010001000100010101010101010101000100010001000000000000000000000000000
Sat Signal FreqUp 111111111111111100000000100010101000101010100010100010001010001000100010001000100010001000101010101010101010001000100010001000000000000000000000000000
Sat Signal FreqDn 111111111111111100000000100010101000101010100010100010001010001000100010001000100010101000101010101010001000101000100010001000000000000000000000000000
Sat Signal Dev 111111111111111100000000100010101000101010100010100010001010001000100010001000101000100010001010101010001010101000100010001000000000000000000000000000
Sat Signal Dec 111111111111111100000000100010101000101010100010100010001010001000100010001010100010001000101010100010001010101000100010001000000000000000000000000000
Sat Signal Int/Ext 111111111111111100000000100010101000101010100010100010001010001000100010001010001000100010001010101000101010101000100010001000000000000000000000000000
Sat Signal Store 111111111111111100000000100010101000101010100010100010001010001000100010001010100010101010101000100010100010001000100010001000000000000000000000000000
Sat Signal Erase 111111111111111100000000100010101000101010100010100010001010001000100010001010101000101010101000100010001010001000100010001000000000000000000000000000

CD Clock 1738.000000
